id;finish_time;corp_id;event_type;business_id;title;type;url;result;create_time;process_code;biz_category_id;staff_id
1;2019-11-13T21:39:31;Facilitator;Views e-enable Communications;National Awesome sky blue;Tactics;scale interactive generating;http://virgie.biz;Faroe Islands Plastic;Car Industrial deliverables;orange Books;magenta monitor 1080p;Unbranded Plastic Tuna Frozen
2;2019-11-13T05:22:51;Investment Account archive Fantastic Plastic Chicken;payment;withdrawal COM;embrace Developer;synthesize Idaho compress;http://aliza.name;partnerships Grocery Intelligent;Dynamic;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;User-centric
3;2019-11-14T00:14:51;neutral Salad;Auto Loan Account modular Refined;digital maroon;EXE projection Fresh;support Gorgeous;http://luz.info;copying;ability Hat Iraq;magenta Concrete;User-centric Gloves;Mauritania
4;2019-11-13T09:13:22;robust Engineer;Exclusive Moroccan Dirham card;zero tolerance;mission-critical;Berkshire Small Plastic Pants Investor;http://marilyne.com;Berkshire Designer;Credit Card Account;navigate;Re-contextualized;web-enabled invoice withdrawal
5;2019-11-13T13:14:12;Licensed hacking installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;Sausages;https://grady.info;Creative Metal;bandwidth azure;SMS Enhanced;Bacon Designer;Equatorial Guinea Vision-oriented
6;2019-11-13T23:51:38;Customer Human deposit;even-keeled Saint Helena Pound;Internal AI optical;bypassing Marketing;Dynamic Home Loan Account Tools;http://trisha.name;Home Gloves Latvia;Ports Manager Fish;Networked;Fish;payment calculating
7;2019-11-13T10:18:45;Nevada;Berkshire;dedicated Persevering;Coordinator Cambridgeshire Investor;cross-platform Borders;https://marcella.info;white sensor local;calculate;Chips;Villages uniform PCI;Automotive Tactics architectures
8;2019-11-13T02:53:44;Strategist SDD;functionalities;compressing;Bedfordshire;Maryland Configuration;https://tod.name;Intelligent;Zambian Kwacha intuitive;Bedfordshire;portal calculating Metal;real-time discrete redundant
9;2019-11-13T06:39:09;HDD;Sleek Beauty Auto Loan Account;deposit;extend Unbranded Fresh Pants Tools;Practical North Dakota;http://erling.info;Wallis and Futuna;generating;Computers Small Fresh Gloves back-end;interface;compress lavender Investment Account
10;2019-11-14T00:02:48;Intelligent Granite Shirt Peru deposit;Frozen Analyst card;redundant;content;Gorgeous Electronics Brand;https://hilario.net;paradigms Salad Table;Optimized;microchip;Response invoice;alarm Jamaica
